Season,Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
2013,Chris Reed,LAD,LEVEL,23,137.2,6.929764928,4.118633873,1.68253968,0.588376268,0.18057922,0.10732538,0.07325384,0.24710425,1.387405767,0.29528536,0.72125813,3.857133309,3.726187342,0.130945968,3.518765584,12801
2014,Chris Reed,LAD,LEVEL,24,137,7.620437956,3.613138686,2.10909091,0.656934307,0.20069204,0.09515571,0.10553633,0.22093023,1.233576642,0.26666667,0.65432099,3.218978102,3.799988709,-0.581010607,3.646188013,12801
2015,Mike Clevinger,CLE,LEVEL,24,158,8.259493671,2.278481013,3.625,0.455696203,0.22691706,0.06259781,0.16431925,0.21525424,1.056962025,0.27231121,0.74635922,2.734177215,3.021894673,-0.287717458,3.220934746,12808
2014,Tyler Anderson,COL,LEVEL,24,118.1,8.061994528,3.042262086,2.65,0.228169656,0.22362869,0.08438819,0.1392405,0.21162791,1.10704537,0.2741433,0.74923547,1.977470356,2.773550268,-0.796079912,3.230909433,12880
2013,Logan Verrett,NYM,LEVEL,23,146,8.136986301,1.910958904,4.25806452,1.294520548,0.22525597,0.05290102,0.17235495,0.24637681,1.143835616,0.28822055,0.6970128,4.253424658,4.085023872,0.168400786,3.30612549,12905
2013,Archie Bradley,ARI,LEVEL,20,123.1,8.683807241,4.305417035,2.01694915,0.36486585,0.23517787,0.11660079,0.11857708,0.20993228,1.232435762,0.27586207,0.81208054,1.970275592,3.042360114,-1.072084521,3.336038504,12918
2015,Gabriel Ynoa,NYM,LEVEL,22,152.1,4.844649787,1.831513944,2.64516129,0.82713533,0.12852665,0.04858934,0.07993731,0.26123128,1.234138428,0.28316832,0.71100917,3.899352268,4.115559144,-0.216206876,3.88150921,12938
2013,Andrew Chafin,ARI,LEVEL,23,126.1,6.197905526,2.92085203,2.12195122,0.356201467,0.16634799,0.07839388,0.08795411,0.24634656,1.258578517,0.29198966,0.7483871,2.849611736,3.094688561,-0.245076825,3.420287104,12988
2013,Taylor Jungmann,MIL,LEVEL,23,139.1,5.296663672,4.715322537,1.12328767,0.710528054,0.13781513,0.12268908,0.01512605,0.22851563,1.363639699,0.25298329,0.67713976,4.327761781,4.548997672,-0.221235891,4.291460402,13119
2014,Henry Owens,BOS,LEVEL,21,121,9.371900826,3.495867769,2.68085106,0.446280992,0.25557809,0.09533469,0.1602434,0.20090293,1.123966942,0.26688103,0.78866769,2.603305785,3.156382736,-0.553076951,3.462325071,13143
2016,Jayson Aquino,BAL,LEVEL,23,115.1,6.008687877,2.575151947,2.33333333,0.546244352,0.15369261,0.06586826,0.08782435,0.28077754,1.41329888,0.32453826,0.71428571,3.901745375,3.80035778,0.101387594,3.899788922,13150
2015,Joe Biagini,SFG,LEVEL,25,130.1,5.800526675,2.347832226,2.47058824,0.345269445,0.1575985,0.06378987,0.09380863,0.22626263,1.120207533,0.2635468,0.73426573,2.416886115,3.353129314,-0.936243199,3.630856608,13194
2013,Warwick Saupold,DET,LEVEL,23,129,5.720930233,3.558139535,1.60784314,0.837209302,0.14990859,0.09323583,0.05667276,0.25409836,1.356589147,0.28426396,0.77617329,3.279069767,4.634827418,-1.355757651,4.428279711,13211
2014,Warwick Saupold,DET,LEVEL,24,140,8.035714286,4.178571429,1.92307692,1.028571429,0.20559211,0.10690789,0.09868422,0.2630597,1.471428571,0.3164557,0.63483736,5.014285714,4.597586986,0.416698728,4.042073768,13211
2006,Corey Thurman,MIL,LEVEL,27,140,7.971428571,2.7,2.95238095,0.514285714,0.21342513,0.07228916,0.14113597,0.24067164,1.221428571,0.29950495,0.72481572,2.957142857,2.887124293,0.070018564,,1324
2014,Adrian Sampson,PIT,LEVEL,22,148,6.02027027,1.824324324,3.3,0.608108108,0.16666667,0.05050505,0.11616162,0.22401434,1.047297297,0.25612472,0.78911565,2.554054054,3.625000113,-1.070946059,3.870607046,13339
2014,Hoby Milner,PHI,LEVEL,23,143.1,5.400012839,3.51628743,1.53571429,1.569771174,0.13961039,0.09090909,0.0487013,0.26118068,1.409305676,0.27008929,0.7797619,4.206986746,5.615200334,-1.408213587,4.879722564,13346
2014,Brady Rodgers,HOU,LEVEL,23,120.2,6.488932361,1.417123159,4.57894737,1.118781442,0.17296223,0.03777336,0.13518887,0.28183716,1.27623957,0.31830239,0.62318841,4.773467484,3.890746221,0.882721263,3.323256068,13393
2014,Dylan Floro,TBR,LEVEL,23,178.2,5.641780284,1.208952918,4.66666667,0.201492153,0.15013405,0.03217158,0.11796247,0.2906815,1.30410199,0.33996683,0.67708333,3.475739639,2.677522637,0.798217003,2.996156197,13394
2015,Felix Pena,CHC,LEVEL,25,129.2,9.717198112,3.401019339,2.85714286,0.694085579,0.25974026,0.09090909,0.16883117,0.22886598,1.233929919,0.30149254,0.69536424,3.748062129,3.396144769,0.35191736,3.270969104,13403
2014,Chris Beck,CHW,LEVEL,23,116.2,4.397130301,2.391421743,1.83870968,0.539998458,0.11585366,0.06300813,0.05284553,0.25438596,1.259996402,0.27806122,0.71729958,3.394276022,3.915419371,-0.52114335,4.177127441,13418
