Season,Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
2017,Chris Pike,TBR,LEVEL,24,4,5,5.172899778,13,13,0,0,0,0,,71.1,307,76,47,41,10,30,0,6,10,2,43,sa829177
2015,Connor Overton,MIA,LEVEL,21,0,0,13.03447847,8,0,0,0,0,0,,9.2,59,24,14,14,3,5,0,1,0,0,7,sa829179
2014,Ben Brewster,CHW,LEVEL,22,2,0,1.723400549,8,0,0,0,1,1,,15.2,63,9,4,3,0,5,0,2,0,0,17,sa829181
2014,Matt Campbell,LAD,LEVEL,22,0,1,2,26,0,0,0,4,0,,36,141,28,8,8,2,10,0,2,2,1,45,sa829183
2015,Matt Campbell,LAD,LEVEL,23,1,1,2.699997659,22,0,0,0,1,0,,36.2,149,28,12,11,1,16,0,1,4,1,35,sa829183
2015,Matt Cooper,CHW,LEVEL,23,3,0,1.588234021,30,0,0,0,11,1,,39.2,148,20,8,7,2,9,0,0,4,0,64,sa829187
2014,Tanner Banks,CHW,LEVEL,22,0,0,0,1,0,0,0,0,0,,2.1,9,2,0,0,0,0,0,0,0,0,2,sa829193
2015,Tanner Banks,CHW,LEVEL,23,0,0,4.090909091,8,0,0,0,1,0,,11,52,14,9,5,0,3,0,0,1,0,5,sa829193
2016,Tanner Banks,CHW,LEVEL,24,6,3,2.869565217,11,11,1,1,0,0,,69,270,58,25,22,5,14,0,0,3,0,51,sa829193
2017,Alec Kenilvort,MIL,LEVEL,24,2,0,7.269244901,11,0,0,0,1,0,,17.1,89,24,18,14,1,6,0,3,4,1,26,sa829194
2016,Alec Kenilvort,COL,LEVEL,23,3,1,5.625,22,0,0,0,0,0,,24,118,29,18,15,5,17,0,0,12,0,24,sa829194
2015,Calvin Rayburn,PHI,LEVEL,22,5,3,4.438353265,32,0,0,0,1,2,,48.2,207,37,28,24,2,24,0,5,4,0,26,sa829195
2015,David Trexler,CHW,LEVEL,24,0,3,4.932694841,36,0,0,0,7,1,,69.1,318,68,42,38,5,37,1,6,12,0,76,sa829196
2017,Gabriel Llanes,NYM,LEVEL,21,6,11,4.478961264,24,24,2,0,0,0,,142.2,627,166,90,71,8,38,0,14,10,0,67,sa829197
2015,Michael Knighton,CHC,LEVEL,21,0,1,18,1,0,0,0,0,0,,1,6,3,2,2,0,0,0,0,0,0,1,sa829198
2017,Michael Knighton,CHC,LEVEL,23,2,2,5.661281092,14,0,0,0,0,1,,20.2,103,30,18,13,5,7,0,2,1,0,16,sa829198
2014,Mat Batts,MIN,LEVEL,22,2,0,2.197671835,6,5,0,0,0,0,,28.2,105,21,8,7,1,3,0,1,0,0,34,sa829200
2015,Mat Batts,MIN,LEVEL,23,3,2,2.213113024,7,7,1,0,0,0,,40.2,162,31,14,10,0,11,0,2,2,0,44,sa829200
2017,Joel Huertas,NYM,LEVEL,21,0,2,10.80000412,3,1,0,0,0,0,,8.1,39,12,10,10,0,4,0,0,3,0,6,sa829206
2015,T.J. Weir,SDP,LEVEL,23,5,4,4.153844146,37,3,0,0,2,1,,73.2,312,70,41,34,4,24,0,2,4,2,84,sa829207
2016,Caleb Smith,SFG,LEVEL,23,1,2,2.347828034,38,0,0,0,6,0,,38.1,160,20,13,10,0,22,0,0,4,0,54,sa829209
2017,Caleb Smith,SFG,LEVEL,24,1,2,5.142857143,24,0,0,0,0,1,,35,158,30,22,20,3,27,2,1,5,0,27,sa829209
2015,Taylor Cox,SDP,LEVEL,21,1,3,3.640451389,28,5,0,0,0,0,,59.1,257,60,27,24,3,34,1,3,1,0,26,sa829210
2016,Taylor Cox,SDP,LEVEL,22,1,0,3.272727273,6,0,0,0,0,0,,11,48,11,8,4,0,4,0,0,0,0,8,sa829210
2015,Nick Kiel,SEA,LEVEL,22,1,4,3.823005623,29,0,0,0,1,2,,37.2,160,44,17,16,3,7,1,0,0,0,27,sa829214
2016,Nick Kiel,SEA,LEVEL,23,1,1,3.857148427,14,0,0,0,1,1,,23.1,100,27,11,10,1,4,0,0,0,0,20,sa829214
2016,Jean Cosme,SDP,LEVEL,20,8,8,3.216311017,28,18,0,0,0,1,,106.1,451,112,47,38,3,23,0,3,3,1,94,sa829216
2018,Garrett Cave,SFG,LEVEL,21,6,10,5.198275862,27,26,0,0,0,0,,116,532,112,74,67,11,67,0,13,18,2,118,sa829217
2015,Jacob Moody,CIN,LEVEL,22,1,0,9,11,0,0,0,0,0,,14,82,24,18,14,1,15,0,1,1,0,15,sa829220
2017,Steve Ascher,COL,LEVEL,23,0,0,16.87497837,3,0,0,0,0,0,,2.2,18,7,5,5,2,3,0,0,0,0,2,sa829225
2017,Greg Maisto,TBR,LEVEL,22,1,0,5.6373689,15,2,0,0,2,1,,30.1,140,36,22,19,4,14,1,3,5,0,22,sa829226
2015,Sam Street,PIT,LEVEL,23,3,1,2.101166442,34,0,0,0,6,1,,85.2,352,83,25,20,3,13,0,5,0,1,72,sa829233
2014,Brandon Barker,ATL,LEVEL,21,5,2,3.932042476,12,5,0,0,0,0,,34.1,153,39,16,15,1,12,0,4,3,0,32,sa829237
2015,Brandon Barker,ATL,LEVEL,22,3,4,3.483873647,8,8,0,0,0,0,,41.1,177,43,21,16,2,13,0,2,4,1,35,sa829237
2017,Dustin Beggs,MIA,LEVEL,24,10,6,3.857151659,26,26,1,1,0,0,,149.1,610,150,71,64,23,31,0,8,6,2,107,sa829242
2018,Dustin Beggs,MIA,LEVEL,25,3,1,2.655735629,14,4,0,0,1,2,,40.2,167,38,20,12,4,6,0,4,1,0,53,sa829242
2014,Luke Curtis,MIL,LEVEL,22,1,0,3.698635259,12,0,0,0,1,1,,24.1,99,17,14,10,3,7,0,1,3,0,23,sa829243
2015,Luke Curtis,MIL,LEVEL,23,8,2,3.056603774,40,0,0,0,7,5,,53,223,44,19,18,4,26,0,5,7,1,34,sa829243
2017,Max MacNabb,BAL,LEVEL,24,0,1,4.846153846,3,3,0,0,0,0,,13,57,16,9,7,1,2,0,1,1,0,4,sa829244
2016,Mac Marshall,SFG,LEVEL,20,0,0,4.595734796,4,4,0,0,0,0,,15.2,76,11,10,8,1,17,0,0,0,1,14,sa829246
2016,Brannon Easterling,CHW,LEVEL,25,7,3,1.857142857,34,18,0,0,2,2,,126,499,103,36,26,4,31,0,3,3,0,88,sa829247
2016,Aaron Attaway,TOR,LEVEL,24,0,0,18,1,0,0,0,0,0,,1,7,2,2,2,0,2,0,0,0,0,0,sa829254
2015,Jimmy Duff,NYM,LEVEL,21,2,2,3.483873647,35,0,0,0,12,2,,41.1,171,40,17,16,1,8,2,1,0,0,44,sa829255
2016,Jimmy Duff,NYM,LEVEL,22,2,2,2.918914931,17,0,0,0,7,2,,24.2,109,27,9,8,2,6,4,3,1,0,22,sa829255
2018,J.B. Bukauskas,HOU,LEVEL,21,1,2,4.2,4,4,0,0,0,0,,15,67,15,7,7,0,7,0,1,1,0,21,sa829263
2015,Josh Michalec,COL,LEVEL,23,3,4,4.095507812,55,0,0,0,30,9,,59.1,262,62,33,27,1,20,0,4,5,0,55,sa829266
2015,Conor Krauss,CIN,LEVEL,22,3,3,2.967031412,42,0,0,0,9,6,,60.2,262,57,26,20,0,25,0,9,9,1,44,sa829273
2016,Conor Krauss,CIN,LEVEL,23,0,3,5.785714286,13,0,0,0,0,1,,14,74,13,14,9,0,16,0,3,3,1,10,sa829273
2018,Peter Solomon,HOU,LEVEL,21,8,1,2.433475279,19,10,0,0,0,0,,77.2,317,62,26,21,2,28,0,0,3,0,88,sa829274
2016,Matthew Crownover,WSN,LEVEL,23,5,1,1.173914017,10,3,0,0,1,0,,38.1,151,28,5,5,1,11,1,2,0,0,34,sa829277
2015,Brian Wolfe,LAD,LEVEL,24,0,0,20.25005009,1,0,0,0,0,0,,1.1,8,3,3,3,1,1,0,0,0,0,1,sa829278
2015,Garrett Mundell,NYY,LEVEL,22,0,0,0,5,0,0,0,3,0,,7,25,4,0,0,0,1,0,0,1,0,10,sa829279
2016,Garrett Mundell,NYY,LEVEL,23,1,2,4.263146554,9,0,0,0,0,0,,12.2,59,14,7,6,0,5,1,0,1,0,21,sa829279
2017,Garrett Mundell,NYY,LEVEL,24,1,4,2.64335488,35,0,0,0,11,2,,47.2,192,34,16,14,2,12,0,4,4,1,70,sa829279
2015,John Sever,PIT,LEVEL,21,3,3,2.907691113,29,9,0,0,4,1,,86.2,372,77,32,28,6,31,0,5,4,0,84,sa829281
2015,Koby Gauna,OAK,LEVEL,21,3,2,1.547771641,36,0,0,0,5,3,,52.1,222,52,17,9,1,11,1,4,2,0,29,sa829284
